fold,epoch,train_loss,val_loss,temperature
speaker-28_emotion-sadness,1,4.5643572241067885,2.6403484912145707,0.07574167467187667
speaker-28_emotion-sadness,2,4.291360511137196,2.645917324792771,0.08205654722311347
speaker-28_emotion-sadness,3,4.227647440109205,2.638544612460666,0.08717021433839028
speaker-28_emotion-sadness,4,4.196002357269651,2.6375299862452914,0.09318735601886256
speaker-28_emotion-sadness,5,4.182079413976116,2.6490972534058588,0.09715896639988882
speaker-28_emotion-sadness,6,4.156969669476227,2.6456579934983027,0.1013051035425426
speaker-28_emotion-sadness,7,4.082006898551884,2.8464057786124095,0.1043068079008794
speaker-28_emotion-sadness,8,4.166244098506397,2.637148963080512,0.10927186651895279
speaker-28_emotion-sadness,9,4.153155738492555,2.692947368773203,0.11093589998993873
speaker-28_emotion-sadness,10,4.127848124413779,2.703872763921344,0.11294201179251025
speaker-28_emotion-sadness,11,4.104645298470178,2.696179473210895,0.11452064596976612
speaker-28_emotion-sadness,12,4.093128960084796,2.79093751453218,0.11580946995467357
speaker-28_emotion-sadness,13,4.124633491641343,2.771064005200825,0.11931786307580636
