fold,epoch,train_loss,val_loss,temperature
speaker-49_emotion-amusement,1,4.574592300355435,2.6424295599498446,0.07560279031584391
speaker-49_emotion-amusement,2,4.290507182066026,2.63886957319956,0.08194124070598925
speaker-49_emotion-amusement,3,4.22561554464345,2.6361174280681308,0.08752432620126464
speaker-49_emotion-amusement,4,4.189432409390732,2.625268300374349,0.09360949271617383
speaker-49_emotion-amusement,5,4.18045242187058,2.630307049978347,0.09710303872051455
speaker-49_emotion-amusement,6,4.155685694373433,2.6239741718958296,0.10112469318812295
speaker-49_emotion-amusement,7,4.086745901420565,2.7676988291361977,0.10436348066444612
speaker-49_emotion-amusement,8,4.166098763369306,2.6312557061513266,0.1078336579934994
speaker-49_emotion-amusement,9,4.155687914920758,2.632219647604322,0.1092593420386451
speaker-49_emotion-amusement,10,4.129561647020205,2.6400425888243175,0.11186363035552987
speaker-49_emotion-amusement,11,4.108868211883141,2.632165367641146,0.11388716679692777
