fold,epoch,train_loss,val_loss,temperature
speaker-9_emotion-joy,1,4.585134896351464,2.645579751048769,0.07559468010628484
speaker-9_emotion-joy,2,4.2639857440737625,2.641649067401886,0.08347684312426759
speaker-9_emotion-joy,3,4.2023171381652356,2.652532390185765,0.09006127931685848
speaker-9_emotion-joy,4,4.147424926508719,2.6368139726775035,0.09591061650369903
speaker-9_emotion-joy,5,4.183238327014025,2.6649513031755174,0.0998422635138159
speaker-9_emotion-joy,6,4.133784512629235,2.636833850826536,0.10467908029646242
speaker-9_emotion-joy,7,4.120978351831436,2.6214459453310286,0.10725806773329138
speaker-9_emotion-joy,8,4.131478346678846,2.6552985182830264,0.11001208419023231
speaker-9_emotion-joy,9,4.1301199221791185,2.7000828002180373,0.11207064609575665
speaker-9_emotion-joy,10,4.099303431977007,2.685987506593977,0.11469895375008313
speaker-9_emotion-joy,11,4.0936275687813755,2.675298980304173,0.11708908923797556
speaker-9_emotion-joy,12,4.11803574523135,2.6735441216400693,0.11861589301565356
