fold,epoch,train_loss,val_loss,temperature
speaker-30_emotion-tenderness,1,4.530639669247102,2.6397432978191073,0.0760816212097719
speaker-30_emotion-tenderness,2,4.278337634180295,2.6386886778331937,0.08213927979138684
speaker-30_emotion-tenderness,3,4.1881389261183894,2.6424153305235363,0.08737702273354514
speaker-30_emotion-tenderness,4,4.165977130655636,2.628931624548776,0.0929627881460246
speaker-30_emotion-tenderness,5,4.205377230335613,2.6223861868419345,0.09807353026866646
speaker-30_emotion-tenderness,6,4.109895465391741,2.6349956913599892,0.10294513672253706
speaker-30_emotion-tenderness,7,4.144064915329218,2.629970247783358,0.10571515073121655
speaker-30_emotion-tenderness,8,4.088170550542302,2.6141920733073403,0.10904794163399278
speaker-30_emotion-tenderness,9,4.08102821005453,2.636188957426283,0.11075823383155257
speaker-30_emotion-tenderness,10,4.137509371081287,2.5829174897027394,0.11249744793601725
speaker-30_emotion-tenderness,11,4.140792713286001,2.6098397270081537,0.11486256597409432
speaker-30_emotion-tenderness,12,4.1093840419347565,2.6272896244412376,0.11618936263479095
speaker-30_emotion-tenderness,13,4.053886726239774,2.7023458707900274,0.11888336420184195
speaker-30_emotion-tenderness,14,4.0574365907508145,2.7050189328572105,0.11955892396785997
speaker-30_emotion-tenderness,15,4.118180794547302,2.639213274395655,0.12157707369830943
