fold,epoch,train_loss,val_loss,temperature
speaker-1_emotion-fear,1,4.526267861166308,2.6436503425477045,0.0755247690683339
speaker-1_emotion-fear,2,4.297175953183511,2.636324999824403,0.08213848194490454
speaker-1_emotion-fear,3,4.198238630890846,2.6283345600915333,0.08829289121546459
speaker-1_emotion-fear,4,4.168843559622765,2.616638607449002,0.0931467938594551
speaker-1_emotion-fear,5,4.158556210964844,2.6229083008236356,0.09807486952124132
speaker-1_emotion-fear,6,4.159100310886325,2.6263274805886403,0.10376810750883252
speaker-1_emotion-fear,7,4.1379373544140865,2.614102110030159,0.10608174085679102
speaker-1_emotion-fear,8,4.143497966248683,2.609192587080456,0.10887702398204765
speaker-1_emotion-fear,9,4.083642028936065,2.6463797092437744,0.110743705466118
speaker-1_emotion-fear,10,4.154492973373626,2.602303190836831,0.11303058136841278
speaker-1_emotion-fear,11,4.118232993845375,2.608897814674983,0.11468460246865186
speaker-1_emotion-fear,12,4.093578271100993,2.6894004344940186,0.11549581563159186
speaker-1_emotion-fear,13,4.106515525570444,2.604528521734571,0.1183689545194755
speaker-1_emotion-fear,14,4.07680519144434,2.622289846813868,0.12329814446508476
speaker-1_emotion-fear,15,4.087135034246851,2.6271991199917264,0.12375983574477367
