fold,epoch,train_loss,val_loss,temperature
speaker-42_emotion-neutral,1,4.584448264837265,2.627912407829648,0.07537245923910602
speaker-42_emotion-neutral,2,4.2999947519987,2.612993179805695,0.08208237561194297
speaker-42_emotion-neutral,3,4.22988936057319,2.612064581068735,0.08793774475699241
speaker-42_emotion-neutral,4,4.194690892744304,2.61864874098036,0.09388221514453456
speaker-42_emotion-neutral,5,4.185806902890241,2.613910890760876,0.09842793307122831
speaker-42_emotion-neutral,6,4.164242530138648,2.6210254979512047,0.10279447379318134
speaker-42_emotion-neutral,7,4.0983011330118275,2.6283890595511785,0.10625102912141277
speaker-42_emotion-neutral,8,4.165657257279263,2.6001997296772306,0.10904110369676104
speaker-42_emotion-neutral,9,4.165459543240221,2.602634278554765,0.11075442005911333
speaker-42_emotion-neutral,10,4.137278384632534,2.615462991926405,0.11329584018848642
speaker-42_emotion-neutral,11,4.112691020485136,2.6459211470588806,0.1149283079088181
speaker-42_emotion-neutral,12,4.097068502042527,2.619903939110892,0.11544555009203046
speaker-42_emotion-neutral,13,4.128989093532466,2.60918677042401,0.11920080657345085
