n,eeg_to_speech_top1,speech_to_eeg_top1,eeg_to_speech_top5,speech_to_eeg_top5,eeg_to_speech_mean_rank,speech_to_eeg_mean_rank,positive_cosine_mean,negative_cosine_mean,pos_minus_neg,time_shift_n,time_shift_eeg_to_speech_top1,time_shift_speech_to_eeg_top1,time_shift_eeg_to_speech_top5,time_shift_speech_to_eeg_top5,time_shift_eeg_to_speech_mean_rank,time_shift_speech_to_eeg_mean_rank,time_shift_positive_cosine_mean,time_shift_negative_cosine_mean,time_shift_pos_minus_neg,material_shift_n,material_shift_eeg_to_speech_top1,material_shift_speech_to_eeg_top1,material_shift_eeg_to_speech_top5,material_shift_speech_to_eeg_top5,material_shift_eeg_to_speech_mean_rank,material_shift_speech_to_eeg_mean_rank,material_shift_positive_cosine_mean,material_shift_negative_cosine_mean,material_shift_pos_minus_neg,fold,n_train_windows,n_val_windows,n_val_pair_keys,best_val_loss,best_epoch,final_temperature
14.0,0.14285714285714285,0.21428571428571427,0.42857142857142855,0.42857142857142855,6.857142857142857,6.357142857142857,0.5516044647864423,0.5421774386355949,0.00942702615084745,14.0,0.07142857142857142,0.0,0.2857142857142857,0.35714285714285715,7.5,7.142857142857143,0.542540946194036,0.5428746323734723,-0.00033368617943629886,14.0,0.07142857142857142,0.0,0.2857142857142857,0.35714285714285715,7.5,7.142857142857143,0.542540946194036,0.5428746323734723,-0.00033368617943629886,speaker-10_emotion-amusement,45752,882,14,2.6165477472638328,3,0.10779414978733658
14.0,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.5714285714285714,7.5,5.071428571428571,0.5648289345787748,0.5607485357756464,0.004080398803128382,14.0,0.0,0.14285714285714285,0.35714285714285715,0.35714285714285715,7.571428571428571,7.214285714285714,0.5603227213969667,0.5610951675588624,-0.0007724461618956457,14.0,0.0,0.14285714285714285,0.35714285714285715,0.35714285714285715,7.571428571428571,7.214285714285714,0.5603227213969667,0.5610951675588624,-0.0007724461618956457,speaker-10_emotion-joy,45850,784,14,2.6376814459051405,1,0.10418127599251181
14.0,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.35714285714285715,7.285714285714286,6.714285714285714,0.569173013517846,0.5673661562814122,0.001806857236433812,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.2857142857142857,7.5,7.785714285714286,0.5670644380461237,0.5675283543946216,-0.00046391634849785035,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.2857142857142857,7.5,7.785714285714286,0.5670644380461237,0.5675283543946216,-0.00046391634849785035,speaker-11_emotion-neutral,45864,770,14,2.6367797288027677,3,0.10832786137352872
14.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.5714285714285714,6.928571428571429,4.928571428571429,0.4230951084302168,0.40678930110147893,0.016305807328737876,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.42857142857142855,7.714285714285714,5.857142857142857,0.40554642363844945,0.40813919993161496,-0.0025927762931655107,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.42857142857142855,7.714285714285714,5.857142857142857,0.40554642363844945,0.40813919993161496,-0.0025927762931655107,speaker-12_emotion-neutral,45752,882,14,2.593092263691009,10,0.12198392325376703
14.0,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.42857142857142855,7.142857142857143,6.571428571428571,0.5959681919697354,0.593988779875958,0.0019794120937773885,14.0,0.0,0.07142857142857142,0.35714285714285715,0.2857142857142857,7.5,8.357142857142858,0.5937122610063835,0.5941623130269851,-0.0004500520206015546,14.0,0.0,0.07142857142857142,0.35714285714285715,0.2857142857142857,7.5,8.357142857142858,0.5937122610063835,0.5941623130269851,-0.0004500520206015546,speaker-13_emotion-inspiration,45766,868,14,2.624533657104738,2,0.10465223046293953
14.0,0.07142857142857142,0.14285714285714285,0.35714285714285715,0.5,7.5,5.714285714285714,0.4017361399979885,0.39414037456396733,0.007595765434021184,14.0,0.07142857142857142,0.07142857142857142,0.42857142857142855,0.35714285714285715,7.5,6.928571428571429,0.39460310778395485,0.39468906934966214,-8.596156570728208e-05,14.0,0.07142857142857142,0.07142857142857142,0.42857142857142855,0.35714285714285715,7.5,6.928571428571429,0.39460310778395485,0.39468906934966214,-8.596156570728208e-05,speaker-14_emotion-neutral,45850,784,14,2.630039236375264,7,0.11880210386278825
14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.6428571428571429,7.5,5.642857142857143,0.5337807049899334,0.5307938632688464,0.0029868417210869858,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.35714285714285715,7.5,7.571428571428571,0.5307985066913354,0.5310232631379692,-0.00022475644663377814,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.35714285714285715,7.5,7.571428571428571,0.5307985066913354,0.5310232631379692,-0.00022475644663377814,speaker-15_emotion-tenderness,45850,784,14,2.6297204749924794,1,0.10469493547874667
14.0,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.42857142857142855,7.285714285714286,6.0,0.5934323327518973,0.5905045891726616,0.002927743579235753,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.2857142857142857,7.571428571428571,7.285714285714286,0.5901328263164863,0.5907583973600009,-0.0006255710435145723,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.2857142857142857,7.571428571428571,7.285714285714286,0.5901328263164863,0.5907583973600009,-0.0006255710435145723,speaker-16_emotion-neutral,45850,784,14,2.656484054667609,1,0.10411482402245897
14.0,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.5,7.142857142857143,5.857142857142857,0.4171977361858921,0.4096681661336711,0.007529570052221046,14.0,0.07142857142857142,0.14285714285714285,0.35714285714285715,0.42857142857142855,7.428571428571429,6.857142857142857,0.4115735420916716,0.4101007964486111,0.0014727456430604913,14.0,0.07142857142857142,0.14285714285714285,0.35714285714285715,0.42857142857142855,7.428571428571429,6.857142857142857,0.4115735420916716,0.4101007964486111,0.0014727456430604913,speaker-18_emotion-anger,45752,882,14,2.630249681926909,8,0.12185189368637957
14.0,0.07142857142857142,0.14285714285714285,0.42857142857142855,0.42857142857142855,7.071428571428571,6.785714285714286,0.4883083487352498,0.48590176886147707,0.0024065798737727406,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.35714285714285715,7.5,7.857142857142857,0.4857289994169687,0.4861001803474986,-0.00037118093052990186,14.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.35714285714285715,7.5,7.857142857142857,0.4857289994169687,0.4861001803474986,-0.00037118093052990186,speaker-19_emotion-anger,45850,784,14,2.6525100001267026,1,0.10322346925817386
