fold,epoch,train_loss,val_loss,temperature
speaker-18_emotion-anger,1,4.507837204424383,2.6514903704325357,0.07585873313450164
speaker-18_emotion-anger,2,4.285218242442969,2.6358774692293196,0.0826368944271779
speaker-18_emotion-anger,3,4.198871478140354,2.636491366795131,0.08877592920114227
speaker-18_emotion-anger,4,4.168214476108551,2.633837998859466,0.0937607272694107
speaker-18_emotion-anger,5,4.15747291596611,2.6425537457541814,0.09839778538919908
speaker-18_emotion-anger,6,4.1591260108216925,2.6390107321360756,0.10379324182240794
speaker-18_emotion-anger,7,4.137883073405216,2.634372219206795,0.10654571023293055
speaker-18_emotion-anger,8,4.145728842437418,2.630249681926909,0.10973331452426809
speaker-18_emotion-anger,9,4.091162376769699,2.648091535719614,0.11234100507324564
speaker-18_emotion-anger,10,4.162591174774364,2.6350189693390376,0.11489080740743825
speaker-18_emotion-anger,11,4.128823794405767,2.6520729746137346,0.11793472074947285
speaker-18_emotion-anger,12,4.107775464691315,2.6916797766609797,0.11939969478708086
speaker-18_emotion-anger,13,4.119031156040259,2.635318582020109,0.12185189368637957
